      Step     Time          Energy          fmax
BFGS:    0 16:00:51     -373.111800        0.186554
BFGS:    1 16:00:52     -373.119747        0.184833
BFGS:    2 16:00:52     -373.136405        0.176996
BFGS:    3 16:00:53     -373.138486        0.175124
BFGS:    4 16:00:54     -373.161605        0.148635
BFGS:    5 16:00:55     -373.175411        0.142428
BFGS:    6 16:00:55     -373.188539        0.166201
BFGS:    7 16:00:56     -373.198789        0.154927
BFGS:    8 16:00:57     -373.214106        0.136158
BFGS:    9 16:00:58     -373.231325        0.125293
BFGS:   10 16:00:58     -373.243953        0.086063
BFGS:   11 16:00:59     -373.248880        0.079303
BFGS:   12 16:01:00     -373.250680        0.058233
BFGS:   13 16:01:01     -373.251758        0.029862
BFGS:   14 16:01:01     -373.252389        0.024744
BFGS:   15 16:01:02     -373.252670        0.019278
BFGS:   16 16:01:03     -373.252828        0.014646
BFGS:   17 16:01:03     -373.252955        0.010225
BFGS:   18 16:01:04     -373.253030        0.010106
BFGS:   19 16:01:05     -373.253063        0.009366
