 Configuration with minimum energy:           61
 Configuration with maximum energy:           38

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1        24  0.151400E+00      0.0000    0.0000E+00
         2        32  0.209404E+00      0.0000    0.0000E+00
         3        96  0.254526E+00      0.0000    0.0000E+00
         4        96  0.348252E+00      0.0000    0.0000E+00
         5       384  0.114173E+00      0.0000    0.0000E+00
         6       384  0.301060E+00      0.0000    0.0000E+00
         7       768  0.171558E+00      0.0000    0.0000E+00
         8       768  0.223931E+00      0.0000    0.0000E+00
         9        24  0.394215E+00      0.0000    0.0000E+00
        10       768  0.305217E+00      0.0000    0.0000E+00
        11       768  0.356616E+00      0.0000    0.0000E+00
        12       384  0.282386E+00      0.0000    0.0000E+00
        13       384  0.362695E+00      0.0000    0.0000E+00
        14        96  0.833040E-01      0.0000    0.0000E+00
        15        96  0.833516E-01      0.0000    0.0000E+00
        16       192  0.125959E+00      0.0000    0.0000E+00
        17       384  0.181042E+00      0.0000    0.0000E+00
        18       384  0.259727E+00      0.0000    0.0000E+00
        19       384  0.255159E+00      0.0000    0.0000E+00
        20       384  0.308170E+00      0.0000    0.0000E+00
        21       384  0.413201E-01      0.0000    0.0000E+00
        22       384  0.154597E+00      0.0000    0.0000E+00
        23       768  0.203860E+00      0.0000    0.0000E+00
        24       768  0.259806E+00      0.0000    0.0000E+00
        25      1536  0.114843E+00      0.0000    0.0000E+00
        26      1536  0.196122E+00      0.0000    0.0000E+00
        27        96  0.302288E+00      0.0000    0.0000E+00
        28        96  0.302538E+00      0.0000    0.0000E+00
        29       192  0.393858E+00      0.0000    0.0000E+00
        30       384  0.309692E+00      0.0000    0.0000E+00
        31       384  0.402665E+00      0.0000    0.0000E+00
        32      1536  0.251141E+00      0.0000    0.0000E+00
        33      1536  0.322863E+00      0.0000    0.0000E+00
        34        96  0.173009E+00      0.0000    0.0000E+00
        35       384  0.235915E+00      0.0000    0.0000E+00
        36       192  0.242566E+00      0.0000    0.0000E+00
        37       192  0.289672E+00      0.0000    0.0000E+00
        38         8  0.502522E+00      0.0000    0.0000E+00
        39       384  0.322361E+00      0.0000    0.0000E+00
        40       384  0.405508E+00      0.0000    0.0000E+00
        41        48  0.168731E+00      0.0000    0.0000E+00
        42       384  0.320576E+00      0.0000    0.0000E+00
        43       192  0.367699E+00      0.0000    0.0000E+00
        44      1536  0.165197E+00      0.0000    0.0000E+00
        45      1536  0.255969E+00      0.0000    0.0000E+00
        46        48  0.483615E+00      0.0000    0.0000E+00
        47      1536  0.335403E+00      0.0000    0.0000E+00
        48      1536  0.405729E+00      0.0000    0.0000E+00
        49       192  0.321860E+00      0.0000    0.0000E+00
        50       192  0.330820E+00      0.0000    0.0000E+00
        51       384  0.367468E+00      0.0000    0.0000E+00
        52       768  0.233351E+00      0.0000    0.0000E+00
        53       768  0.271472E+00      0.0000    0.0000E+00
        54       768  0.341607E+00      0.0000    0.0000E+00
        55       768  0.316161E+00      0.0000    0.0000E+00
        56        96  0.413567E+00      0.0000    0.0000E+00
        57       768  0.281498E+00      0.0000    0.0000E+00
        58       768  0.387340E+00      0.0000    0.0000E+00
        59       768  0.318075E+00      0.0000    0.0000E+00
        60       768  0.365560E+00      0.0000    0.0000E+00
        61        64  0.000000E+00      1.0000    0.1562E-01
        62       384  0.990292E-01      0.0000    0.0000E+00
        63       768  0.183576E+00      0.0000    0.0000E+00
        64       256  0.229323E+00      0.0000    0.0000E+00
        65       192  0.222861E+00      0.0000    0.0000E+00
        66       768  0.270415E+00      0.0000    0.0000E+00
        67       256  0.277361E+00      0.0000    0.0000E+00
        68       768  0.339372E+00      0.0000    0.0000E+00
        69       192  0.318185E+00      0.0000    0.0000E+00
        70       384  0.409955E+00      0.0000    0.0000E+00
        71        64  0.500442E+00      0.0000    0.0000E+00


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1        24  0.151400E+00      0.0004    0.1511E-04
         2        32  0.209404E+00      0.0001    0.1602E-05
         3        96  0.254526E+00      0.0000    0.2797E-06
         4        96  0.348252E+00      0.0000    0.7451E-08
         5       384  0.114173E+00      0.0245    0.6377E-04
         6       384  0.301060E+00      0.0000    0.4624E-07
         7       768  0.171558E+00      0.0053    0.6927E-05
         8       768  0.223931E+00      0.0007    0.9135E-06
         9        24  0.394215E+00      0.0000    0.1259E-08
        10       768  0.305217E+00      0.0000    0.3937E-07
        11       768  0.356616E+00      0.0000    0.5392E-08
        12       384  0.282386E+00      0.0000    0.9522E-07
        13       384  0.362695E+00      0.0000    0.4262E-08
        14        96  0.833040E-01      0.0202    0.2105E-03
        15        96  0.833516E-01      0.0202    0.2101E-03
        16       192  0.125959E+00      0.0078    0.4042E-04
        17       384  0.181042E+00      0.0018    0.4800E-05
        18       384  0.259727E+00      0.0001    0.2288E-06
        19       384  0.255159E+00      0.0001    0.2730E-06
        20       384  0.308170E+00      0.0000    0.3512E-07
        21       384  0.413201E-01      0.4100    0.1068E-02
        22       384  0.154597E+00      0.0051    0.1335E-04
        23       768  0.203860E+00      0.0015    0.1986E-05
        24       768  0.259806E+00      0.0002    0.2281E-06
        25      1536  0.114843E+00      0.0954    0.6213E-04
        26      1536  0.196122E+00      0.0041    0.2679E-05
        27        96  0.302288E+00      0.0000    0.4410E-07
        28        96  0.302538E+00      0.0000    0.4367E-07
        29       192  0.393858E+00      0.0000    0.1277E-08
        30       384  0.309692E+00      0.0000    0.3311E-07
        31       384  0.402665E+00      0.0000    0.9081E-09
        32      1536  0.251141E+00      0.0005    0.3189E-06
        33      1536  0.322863E+00      0.0000    0.1990E-07
        34        96  0.173009E+00      0.0006    0.6549E-05
        35       384  0.235915E+00      0.0002    0.5747E-06
        36       192  0.242566E+00      0.0001    0.4443E-06
        37       192  0.289672E+00      0.0000    0.7184E-07
        38         8  0.502522E+00      0.0000    0.1908E-10
        39       384  0.322361E+00      0.0000    0.2029E-07
        40       384  0.405508E+00      0.0000    0.8135E-09
        41        48  0.168731E+00      0.0004    0.7728E-05
        42       384  0.320576E+00      0.0000    0.2174E-07
        43       192  0.367699E+00      0.0000    0.3512E-08
        44      1536  0.165197E+00      0.0136    0.8860E-05
        45      1536  0.255969E+00      0.0004    0.2646E-06
        46        48  0.483615E+00      0.0000    0.3965E-10
        47      1536  0.335403E+00      0.0000    0.1225E-07
        48      1536  0.405729E+00      0.0000    0.8066E-09
        49       192  0.321860E+00      0.0000    0.2068E-07
        50       192  0.330820E+00      0.0000    0.1462E-07
