# Thermal averages of cluster correlations (GQS targets)
# Number of configurations: 71
# Number of clusters: 19
#
# T =     300.00 K
Pi_1 :   0.00000000
Pi_2 :   0.55016113
Pi_3 :   0.39322893
Pi_4 :   0.27252592
Pi_5 :   0.54372268
Pi_6 :   0.38779504
Pi_7 :   0.54889912
Pi_8 :   0.38560306
Pi_9 :   0.38670755
Pi_10 :   0.39216171
Pi_11 :   0.39109047
Pi_12 :   0.39001309
Pi_13 :   0.54440153
Pi_14 :   0.38728182
Pi_15 :   0.38618509
Pi_16 :   0.37715114
Pi_17 :   0.37835998
Pi_18 :   0.38837120
Pi_19 :   0.54690543

# T =     600.00 K
Pi_1 :   0.00000000
Pi_2 :   0.54929361
Pi_3 :   0.39102896
Pi_4 :   0.26886300
Pi_5 :   0.54596476
Pi_6 :   0.38819836
Pi_7 :   0.54866943
Pi_8 :   0.38712075
Pi_9 :   0.38766422
Pi_10 :   0.39049753
Pi_11 :   0.38996541
Pi_12 :   0.38943155
Pi_13 :   0.54631822
Pi_14 :   0.38796400
Pi_15 :   0.38742440
Pi_16 :   0.38274683
Pi_17 :   0.38336826
Pi_18 :   0.38850037
Pi_19 :   0.54759568

# T =     900.00 K
Pi_1 :   0.00000000
Pi_2 :   0.54899613
Pi_3 :   0.39026996
Pi_4 :   0.26759061
Pi_5 :   0.54675077
Pi_6 :   0.38835607
Pi_7 :   0.54858161
Pi_8 :   0.38764191
Pi_9 :   0.38800255
Pi_10 :   0.38991622
Pi_11 :   0.38956232
Pi_12 :   0.38920756
Pi_13 :   0.54698953
Pi_14 :   0.38820517
Pi_15 :   0.38784735
Pi_16 :   0.38469142
Pi_17 :   0.38510946
Pi_18 :   0.38856072
Pi_19 :   0.54784733

# T =    1200.00 K
Pi_1 :   0.00000000
Pi_2 :   0.54884572
Pi_3 :   0.38988530
Pi_4 :   0.26694407
Pi_5 :   0.54715152
Pi_6 :   0.38843958
Pi_7 :   0.54853544
Pi_8 :   0.38790557
Pi_9 :   0.38817561
Pi_10 :   0.38962021
Pi_11 :   0.38935511
Pi_12 :   0.38908949
Pi_13 :   0.54733172
Pi_14 :   0.38832855
Pi_15 :   0.38806086
Pi_16 :   0.38567950
Pi_17 :   0.38599445
Pi_18 :   0.38859438
Pi_19 :   0.54797758

# T = 1000000.00 K
Pi_1 :   0.00000000
Pi_2 :   0.54838800
Pi_3 :   0.38871111
Pi_4 :   0.26496349
Pi_5 :   0.54838461
Pi_6 :   0.38870920
Pi_7 :   0.54838763
Pi_8 :   0.38870856
Pi_9 :   0.38871050
Pi_10 :   0.38871072
Pi_11 :   0.38871040
Pi_12 :   0.38871016
Pi_13 :   0.54838440
Pi_14 :   0.38871008
Pi_15 :   0.38870925
Pi_16 :   0.38870577
Pi_17 :   0.38870636
Pi_18 :   0.38870989
Pi_19 :   0.54838659

# T -> infinity (equiprobable configurations)
Pi_1 :   0.00000000
Pi_2 :   0.54838745
Pi_3 :   0.38870968
Pi_4 :   0.26496107
Pi_5 :   0.54838612
Pi_6 :   0.38870954
Pi_7 :   0.54838745
Pi_8 :   0.38870954
Pi_9 :   0.38871115
Pi_10 :   0.38870961
Pi_11 :   0.38870961
Pi_12 :   0.38870968
Pi_13 :   0.54838570
Pi_14 :   0.38871055
Pi_15 :   0.38871004
Pi_16 :   0.38870946
Pi_17 :   0.38870968
Pi_18 :   0.38871004
Pi_19 :   0.54838710
