 Configuration with minimum energy:           61
 Configuration with maximum energy:            1

Temperature=      0.0000
         m  omega(m)   Erel(m)/eV       p(m)        p(m)/omega(m)
         1        24  0.245283E-01      0.0000    0.0000E+00
         2        32  0.241403E-01      0.0000    0.0000E+00
         3        96  0.224795E-01      0.0000    0.0000E+00
         4        96  0.220658E-01      0.0000    0.0000E+00
         5       384  0.122477E-01      0.0000    0.0000E+00
         6       384  0.145059E-01      0.0000    0.0000E+00
         7       768  0.130299E-01      0.0000    0.0000E+00
         8       768  0.137793E-01      0.0000    0.0000E+00
         9        24  0.203849E-01      0.0000    0.0000E+00
        10       768  0.109521E-01      0.0000    0.0000E+00
        11       768  0.117026E-01      0.0000    0.0000E+00
        12       384  0.109692E-01      0.0000    0.0000E+00
        13       384  0.117213E-01      0.0000    0.0000E+00
        14        96  0.843391E-02      0.0000    0.0000E+00
        15        96  0.846489E-02      0.0000    0.0000E+00
        16       192  0.799269E-02      0.0000    0.0000E+00
        17       384  0.100107E-01      0.0000    0.0000E+00
        18       384  0.950960E-02      0.0000    0.0000E+00
        19       384  0.951898E-02      0.0000    0.0000E+00
        20       384  0.791947E-02      0.0000    0.0000E+00
        21       384  0.422587E-02      0.0000    0.0000E+00
        22       384  0.498114E-02      0.0000    0.0000E+00
        23       768  0.573631E-02      0.0000    0.0000E+00
        24       768  0.650126E-02      0.0000    0.0000E+00
        25      1536  0.500133E-02      0.0000    0.0000E+00
        26      1536  0.576603E-02      0.0000    0.0000E+00
        27        96  0.114432E-01      0.0000    0.0000E+00
        28        96  0.114684E-01      0.0000    0.0000E+00
        29       192  0.110066E-01      0.0000    0.0000E+00
        30       384  0.725504E-02      0.0000    0.0000E+00
        31       384  0.801030E-02      0.0000    0.0000E+00
        32      1536  0.651682E-02      0.0000    0.0000E+00
        33      1536  0.727961E-02      0.0000    0.0000E+00
        34        96  0.100303E-01      0.0000    0.0000E+00
        35       384  0.955702E-02      0.0000    0.0000E+00
        36       192  0.955467E-02      0.0000    0.0000E+00
        37       192  0.796590E-02      0.0000    0.0000E+00
        38         8  0.229242E-01      0.0000    0.0000E+00
        39       384  0.121538E-01      0.0000    0.0000E+00
        40       384  0.129069E-01      0.0000    0.0000E+00
        41        48  0.754423E-02      0.0000    0.0000E+00
        42       384  0.905994E-02      0.0000    0.0000E+00
        43       192  0.746717E-02      0.0000    0.0000E+00
        44      1536  0.452981E-02      0.0000    0.0000E+00
        45      1536  0.529372E-02      0.0000    0.0000E+00
        46        48  0.105569E-01      0.0000    0.0000E+00
        47      1536  0.604776E-02      0.0000    0.0000E+00
        48      1536  0.680976E-02      0.0000    0.0000E+00
        49       192  0.906750E-02      0.0000    0.0000E+00
        50       192  0.907124E-02      0.0000    0.0000E+00
        51       384  0.747634E-02      0.0000    0.0000E+00
        52       768  0.529524E-02      0.0000    0.0000E+00
        53       768  0.529150E-02      0.0000    0.0000E+00
