      Step     Time          Energy          fmax
BFGS:    0 20:29:24     -302.503512        2.438893
BFGS:    1 20:29:24     -303.095668        0.936295
BFGS:    2 20:29:25     -303.312369        0.643533
BFGS:    3 20:29:26     -303.375146        0.625022
BFGS:    4 20:29:26     -303.458649        0.581627
BFGS:    5 20:29:27     -303.486258        0.560538
BFGS:    6 20:29:27     -303.561201        0.492056
BFGS:    7 20:29:28     -303.627452        0.530333
BFGS:    8 20:29:29     -303.718336        0.554147
BFGS:    9 20:29:29     -303.800106        0.606788
BFGS:   10 20:29:30     -303.865312        0.514932
BFGS:   11 20:29:31     -303.906690        0.350962
BFGS:   12 20:29:31     -303.932513        0.284789
BFGS:   13 20:29:32     -303.949529        0.175675
BFGS:   14 20:29:32     -303.961675        0.171878
BFGS:   15 20:29:33     -303.969545        0.154982
BFGS:   16 20:29:34     -303.975056        0.137624
BFGS:   17 20:29:34     -303.979171        0.092581
BFGS:   18 20:29:35     -303.982040        0.079199
BFGS:   19 20:29:36     -303.983884        0.076868
BFGS:   20 20:29:36     -303.985299        0.063666
BFGS:   21 20:29:37     -303.986831        0.067704
BFGS:   22 20:29:37     -303.988512        0.063979
BFGS:   23 20:29:38     -303.989932        0.060197
BFGS:   24 20:29:39     -303.990902        0.047394
BFGS:   25 20:29:39     -303.991643        0.044990
BFGS:   26 20:29:40     -303.992400        0.061918
BFGS:   27 20:29:41     -303.993225        0.063365
BFGS:   28 20:29:41     -303.994021        0.047008
BFGS:   29 20:29:42     -303.994746        0.046536
BFGS:   30 20:29:43     -303.995445        0.042364
BFGS:   31 20:29:43     -303.996111        0.048616
BFGS:   32 20:29:44     -303.996660        0.044564
BFGS:   33 20:29:44     -303.997078        0.026345
BFGS:   34 20:29:45     -303.997448        0.030892
BFGS:   35 20:29:46     -303.997864        0.033780
BFGS:   36 20:29:46     -303.998353        0.041033
BFGS:   37 20:29:47     -303.998841        0.041812
BFGS:   38 20:29:48     -303.999213        0.026951
BFGS:   39 20:29:48     -303.999449        0.024102
BFGS:   40 20:29:49     -303.999605        0.019269
BFGS:   41 20:29:50     -303.999732        0.017669
BFGS:   42 20:29:50     -303.999835        0.014086
BFGS:   43 20:29:51     -303.999905        0.011624
BFGS:   44 20:29:52     -303.999946        0.009912
