      Step     Time          Energy          fmax
BFGS:    0 14:18:38     -476.205048        0.355390
BFGS:    1 14:18:39     -476.223633        0.334494
BFGS:    2 14:18:39     -476.320038        0.116149
BFGS:    3 14:18:40     -476.322601        0.111567
BFGS:    4 14:18:40     -476.346008        0.063074
BFGS:    5 14:18:40     -476.346680        0.060529
BFGS:    6 14:18:40     -476.350769        0.069195
BFGS:    7 14:18:41     -476.353302        0.072591
BFGS:    8 14:18:41     -476.355743        0.055715
BFGS:    9 14:18:41     -476.356537        0.036711
BFGS:   10 14:18:41     -476.357056        0.039623
BFGS:   11 14:18:41     -476.357819        0.035806
BFGS:   12 14:18:41     -476.358887        0.028391
BFGS:   13 14:18:42     -476.359711        0.022910
BFGS:   14 14:18:42     -476.360138        0.020722
BFGS:   15 14:18:42     -476.360443        0.025269
BFGS:   16 14:18:42     -476.360901        0.025605
BFGS:   17 14:18:42     -476.361450        0.020382
BFGS:   18 14:18:42     -476.361938        0.019000
BFGS:   19 14:18:43     -476.362183        0.018823
BFGS:   20 14:18:43     -476.362335        0.018707
BFGS:   21 14:18:43     -476.362488        0.018575
BFGS:   22 14:18:43     -476.362793        0.018396
BFGS:   23 14:18:43     -476.363159        0.018232
BFGS:   24 14:18:44     -476.363373        0.018172
BFGS:   25 14:18:44     -476.363495        0.018181
BFGS:   26 14:18:44     -476.363647        0.018181
BFGS:   27 14:18:44     -476.363892        0.018118
BFGS:   28 14:18:44     -476.364197        0.017909
BFGS:   29 14:18:44     -476.364563        0.017557
BFGS:   30 14:18:45     -476.364807        0.017240
BFGS:   31 14:18:45     -476.364655        0.017020
BFGS:   32 14:18:45     -476.364929        0.016760
BFGS:   33 14:18:45     -476.365662        0.017805
BFGS:   34 14:18:45     -476.366211        0.017011
BFGS:   35 14:18:46     -476.366760        0.017526
BFGS:   36 14:18:46     -476.367065        0.016374
BFGS:   37 14:18:46     -476.367188        0.017629
BFGS:   38 14:18:46     -476.367645        0.023023
BFGS:   39 14:18:46     -476.368408        0.025539
BFGS:   40 14:18:47     -476.369141        0.024579
BFGS:   41 14:18:47     -476.369690        0.028814
BFGS:   42 14:18:47     -476.370483        0.024693
BFGS:   43 14:18:47     -476.370972        0.018384
BFGS:   44 14:18:47     -476.371826        0.025519
BFGS:   45 14:18:48     -476.372955        0.026272
BFGS:   46 14:18:48     -476.373962        0.039025
BFGS:   47 14:18:48     -476.374573        0.037563
BFGS:   48 14:18:48     -476.374817        0.028998
BFGS:   49 14:18:48     -476.375702        0.028275
BFGS:   50 14:18:49     -476.376801        0.025977
BFGS:   51 14:18:49     -476.377930        0.047048
BFGS:   52 14:18:49     -476.378662        0.051450
BFGS:   53 14:18:49     -476.378815        0.041596
BFGS:   54 14:18:49     -476.379181        0.025069
BFGS:   55 14:18:50     -476.379333        0.030102
BFGS:   56 14:18:50     -476.380371        0.030701
BFGS:   57 14:18:50     -476.381104        0.038507
BFGS:   58 14:18:50     -476.381409        0.031619
BFGS:   59 14:18:50     -476.381653        0.023780
BFGS:   60 14:18:51     -476.382080        0.016252
BFGS:   61 14:18:51     -476.381958        0.027502
BFGS:   62 14:18:51     -476.382935        0.036227
BFGS:   63 14:18:51     -476.383179        0.029875
BFGS:   64 14:18:51     -476.383301        0.019157
BFGS:   65 14:18:52     -476.383545        0.011763
BFGS:   66 14:18:52     -476.383850        0.015033
BFGS:   67 14:18:52     -476.384094        0.022602
BFGS:   68 14:18:52     -476.384216        0.017303
BFGS:   69 14:18:52     -476.384338        0.010330
BFGS:   70 14:18:53     -476.384094        0.010154
BFGS:   71 14:18:53     -476.384399        0.012642
BFGS:   72 14:18:53     -476.384735        0.016834
BFGS:   73 14:18:53     -476.384827        0.011492
BFGS:   74 14:18:53     -476.384888        0.009793
