 Configuration with minimum energy:           22
 Configuration with maximum energy:           13

Temperature=     20.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0000      0.0000
         2       192  0.928460E-01      0.0000      0.0000
         3       192  0.945020E-01      0.0000      0.0000
         4        96  0.833450E-01      0.0000      0.0000
         5        24  0.817190E-01      0.0000      0.0000
         6        96  0.740020E-01      0.0000      0.0000
         7        48  0.755040E-01      0.0000      0.0000
         8        96  0.949650E-01      0.0000      0.0000
         9       192  0.767950E-01      0.0000      0.0000
        10        96  0.550100E-01      0.0000      0.0000
        11        96  0.529780E-01      0.0000      0.0000
        12        96  0.872350E-01      0.0000      0.0000
        13        96  0.113535E+00      0.0000      0.0000
        14        96  0.847840E-01      0.0000      0.0000
        15        96  0.760300E-01      0.0000      0.0000
        16       192  0.658300E-01      0.0000      0.0000
        17        48  0.747900E-01      0.0000      0.0000
        18        24  0.693580E-01      0.0000      0.0000
        19         8  0.100958E+00      0.0000      0.0000
        20         4  0.947210E-01      0.0000      0.0000
        21        12  0.800470E-01      0.0000      0.0000
        22         8  0.000000E+00      1.0000      0.1250


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0015      0.0001
         2       192  0.928460E-01      0.0525      0.0003
         3       192  0.945020E-01      0.0493      0.0003
         4        96  0.833450E-01      0.0379      0.0004
         5        24  0.817190E-01      0.0101      0.0004
         6        96  0.740020E-01      0.0545      0.0006
         7        48  0.755040E-01      0.0257      0.0005
         8        96  0.949650E-01      0.0242      0.0003
         9       192  0.767950E-01      0.0978      0.0005
        10        96  0.550100E-01      0.1135      0.0012
        11        96  0.529780E-01      0.1228      0.0013
        12        96  0.872350E-01      0.0326      0.0003
        13        96  0.113535E+00      0.0118      0.0001
        14        96  0.847840E-01      0.0359      0.0004
        15        96  0.760300E-01      0.0503      0.0005
        16       192  0.658300E-01      0.1494      0.0008
        17        48  0.747900E-01      0.0264      0.0006
        18        24  0.693580E-01      0.0163      0.0007
        19         8  0.100958E+00      0.0016      0.0002
        20         4  0.947210E-01      0.0010      0.0003
        21        12  0.800470E-01      0.0054      0.0004
        22         8  0.000000E+00      0.0794      0.0099


Temperature=    600.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0034      0.0003
         2       192  0.928460E-01      0.0794      0.0004
         3       192  0.945020E-01      0.0769      0.0004
         4        96  0.833450E-01      0.0477      0.0005
         5        24  0.817190E-01      0.0123      0.0005
         6        96  0.740020E-01      0.0572      0.0006
         7        48  0.755040E-01      0.0278      0.0006
         8        96  0.949650E-01      0.0381      0.0004
         9       192  0.767950E-01      0.1083      0.0006
        10        96  0.550100E-01      0.0825      0.0009
        11        96  0.529780E-01      0.0858      0.0009
        12        96  0.872350E-01      0.0443      0.0005
        13        96  0.113535E+00      0.0266      0.0003
        14        96  0.847840E-01      0.0464      0.0005
        15        96  0.760300E-01      0.0550      0.0006
        16       192  0.658300E-01      0.1339      0.0007
        17        48  0.747900E-01      0.0281      0.0006
        18        24  0.693580E-01      0.0156      0.0007
        19         8  0.100958E+00      0.0028      0.0004
        20         4  0.947210E-01      0.0016      0.0004
        21        12  0.800470E-01      0.0064      0.0005
        22         8  0.000000E+00      0.0199      0.0025


Temperature=    800.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0041      0.0003
         2       192  0.928460E-01      0.0861      0.0004
         3       192  0.945020E-01      0.0841      0.0004
         4        96  0.833450E-01      0.0494      0.0005
         5        24  0.817190E-01      0.0126      0.0005
         6        96  0.740020E-01      0.0566      0.0006
         7        48  0.755040E-01      0.0277      0.0006
         8        96  0.949650E-01      0.0418      0.0004
         9       192  0.767950E-01      0.1087      0.0006
        10        96  0.550100E-01      0.0745      0.0008
        11        96  0.529780E-01      0.0768      0.0008
        12        96  0.872350E-01      0.0467      0.0005
        13        96  0.113535E+00      0.0319      0.0003
        14        96  0.847840E-01      0.0484      0.0005
        15        96  0.760300E-01      0.0549      0.0006
        16       192  0.658300E-01      0.1274      0.0007
        17        48  0.747900E-01      0.0280      0.0006
        18        24  0.693580E-01      0.0151      0.0006
        19         8  0.100958E+00      0.0032      0.0004
        20         4  0.947210E-01      0.0017      0.0004
        21        12  0.800470E-01      0.0065      0.0005
        22         8  0.000000E+00      0.0138      0.0017


Temperature=   1200.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0048      0.0004
         2       192  0.928460E-01      0.0927      0.0005
         3       192  0.945020E-01      0.0913      0.0005
         4        96  0.833450E-01      0.0508      0.0005
         5        24  0.817190E-01      0.0129      0.0005
         6        96  0.740020E-01      0.0556      0.0006
         7        48  0.755040E-01      0.0274      0.0006
         8        96  0.949650E-01      0.0454      0.0005
         9       192  0.767950E-01      0.1083      0.0006
        10        96  0.550100E-01      0.0668      0.0007
        11        96  0.529780E-01      0.0682      0.0007
        12        96  0.872350E-01      0.0490      0.0005
        13        96  0.113535E+00      0.0380      0.0004
        14        96  0.847840E-01      0.0501      0.0005
        15        96  0.760300E-01      0.0546      0.0006
        16       192  0.658300E-01      0.1204      0.0006
        17        48  0.747900E-01      0.0276      0.0006
        18        24  0.693580E-01      0.0145      0.0006
        19         8  0.100958E+00      0.0036      0.0004
        20         4  0.947210E-01      0.0019      0.0005
        21        12  0.800470E-01      0.0066      0.0005
        22         8  0.000000E+00      0.0095      0.0012


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0066      0.0005
         2       192  0.928460E-01      0.1055      0.0005
         3       192  0.945020E-01      0.1055      0.0005
         4        96  0.833450E-01      0.0527      0.0005
         5        24  0.817190E-01      0.0132      0.0005
         6        96  0.740020E-01      0.0527      0.0005
         7        48  0.755040E-01      0.0264      0.0005
         8        96  0.949650E-01      0.0527      0.0005
         9       192  0.767950E-01      0.1055      0.0005
        10        96  0.550100E-01      0.0527      0.0005
        11        96  0.529780E-01      0.0527      0.0005
        12        96  0.872350E-01      0.0527      0.0005
        13        96  0.113535E+00      0.0527      0.0005
        14        96  0.847840E-01      0.0527      0.0005
        15        96  0.760300E-01      0.0527      0.0005
        16       192  0.658300E-01      0.1055      0.0005
        17        48  0.747900E-01      0.0264      0.0005
        18        24  0.693580E-01      0.0132      0.0005
        19         8  0.100958E+00      0.0044      0.0005
        20         4  0.947210E-01      0.0022      0.0005
        21        12  0.800470E-01      0.0066      0.0005
        22         8  0.000000E+00      0.0044      0.0005
